Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2016-03-31,415.7,412.4,417.2,411.5,41.84,425668.0,165497000000.0,851310.6129,422250064.0,19394.06374524408,1020134.645,442503.0,3.918048193,11.41,,,0.0074,1235.6,15.483,4854.5,2059.74,17685.09,16758.67
2016-04-01,415.6,415.7,416.9,412.8,38.22,498916.0,166568000000.0,754845.0588,461965176.0,21664.88696021497,1266862.833,482770.0,3.564527269,11.62,,,0.0075,1223.5,15.064,4812.0,2072.78,17792.75,16164.16
2016-04-02,418.5,415.6,420.1,415.1,31.31,486983.0,166852000000.0,814407.0863,452810340.0,21458.933406276843,1152898.486,449018.0,3.474169569,11.61,,,0.00757,1223.5,15.064,4812.0,2072.78,17792.75,16164.16
2016-04-03,419.1,418.5,420.2,417.0,22.8,456249.0,166852000000.0,709838.5704,403188308.0,17492.252065850185,1177781.187,450813.0,2.881330112,11.75,,,0.00748,1223.5,15.064,4812.0,2072.78,17792.75,16164.16
2016-04-04,419.3,419.1,420.4,416.2,33.44,486496.0,166852000000.0,666712.0,442696768.0,18932.26892259446,1376842.796,503068.0,3.303471676,11.15,,,0.0074,1219.3,14.962,4768.5,2066.13,17737.0,16123.27
2016-04-05,422.1,419.3,423.7,418.0,40.89,464749.0,166852000000.0,748984.0581,464370116.0,20541.62166625811,1285606.226,479076.0,3.508575325,10.4,,,0.0073,1229.6,15.135,4766.0,2045.17,17603.32,15732.82
2016-04-06,421.3,422.1,422.8,419.5,32.67,480231.0,166852000000.0,706070.5159,443412284.0,24620.89180504063,1302194.693,509953.0,3.398261321,10.76,,,0.0073,1223.8,15.073,4773.5,2066.66,17716.05,15715.36
2016-04-07,420.1,421.3,422.0,417.9,36.06,450348.0,166852000000.0,768603.9568,427343800.0,19026.74463925745,1152898.486,484167.0,4.098261668,10.12,,,0.00683,1237.5,15.177,4635.5,2041.91,17541.96,15749.84
2016-04-08,417.7,420.1,423.5,415.5,46.95,433298.0,166852000000.0,704031.375,405522072.0,17902.312188809323,1194369.655,470875.0,3.629597386,9.71,,,0.00654,1243.8,15.403,4660.5,2047.6,17576.96,15821.52
2016-04-09,418.0,417.7,418.9,412.4,29.43,428083.0,166852000000.0,641776.9815,415871484.0,15461.655810198225,1343665.862,460153.0,3.533064774,9.15,,,0.00622,1243.8,15.403,4660.5,2047.6,17576.96,15821.52
2016-04-10,420.3,418.0,421.6,416.7,23.3,444157.0,166852000000.0,553639.7283,383118692.0,13999.578813311,1434902.432,483194.0,3.019520115,8.76,,,0.0061,1243.8,15.403,4660.5,2047.6,17576.96,15821.52
2016-04-11,421.4,420.3,422.4,418.1,36.39,476122.0,166852000000.0,779670.4967,477158344.0,21631.83188168796,1269017.758,504885.0,3.148615915,8.68,,,0.00623,1258.0,15.995,4668.0,2041.99,17556.41,15751.13
2016-04-12,424.7,421.4,426.7,420.7,57.71,504477.0,166852000000.0,820864.2973,485951664.0,21121.611812744428,1227546.59,537056.0,3.981427883,7.53,,,0.00599,1260.9,16.241,4780.0,2061.72,17721.25,15928.79
2016-04-13,423.5,424.7,426.6,421.4,38.09,497314.0,166852000000.0,712951.372,467696100.0,19525.409985072325,1360254.329,506110.0,4.44183416,8.09,,,0.00594,1248.3,16.344,4836.5,2082.42,17908.28,16381.22
2016-04-14,424.0,423.5,425.4,421.8,30.66,466772.0,174856000000.0,708837.25,464997236.0,19188.41730999088,1425512.687,521432.0,3.658784801,8.46,,,0.00637,1226.5,16.191,4840.0,2082.78,17926.43,16911.05
2016-04-15,428.7,424.0,429.5,423.3,54.12,439873.0,178678000000.0,801300.8058,445523248.0,19280.717990871544,1234618.412,477433.0,4.377033091,8.32,,,0.00654,1234.6,16.332,4805.5,2080.73,17897.46,16848.03
