"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2018","26,473.00","26,417.00","26,576.00","26,357.00","163.38K","0.20%"
"09/26/2018","26,419.00","26,524.00","26,627.00","26,369.00","152.94K","-0.38%"
"09/25/2018","26,520.00","26,621.00","26,704.00","26,501.00","136.47K","-0.34%"
"09/24/2018","26,610.00","26,709.00","26,739.00","26,577.00","148.66K","-0.61%"
"09/21/2018","26,772.04","26,689.00","26,797.00","26,689.00","4.92K","0.28%"
"09/20/2018","26,696.00","26,448.00","26,717.00","26,430.00","36.18K","0.99%"
"09/19/2018","26,434.00","26,290.00","26,477.00","26,237.00","56.27K","0.61%"
"09/18/2018","26,274.00","26,068.00","26,331.00","25,966.00","58.83K","0.76%"
"09/17/2018","26,076.00","26,159.00","26,195.00","26,042.00","81.13K","-0.31%"
"09/14/2018","26,158.00","26,161.00","26,237.00","26,078.00","108.42K","-0.01%"
"09/13/2018","26,160.00","26,004.00","26,203.00","25,980.00","162.91K","0.56%"
"09/12/2018","26,014.00","26,008.00","26,164.00","25,940.00","198.74K","0.05%"
"09/11/2018","26,002.00","25,897.00","26,038.00","25,764.00","153.18K","0.37%"
"09/10/2018","25,905.00","25,940.00","26,061.00","25,874.00","145.08K","-0.21%"
"09/07/2018","25,959.00","26,003.00","26,038.00","25,833.00","206.05K","-0.25%"
"09/06/2018","26,025.00","25,990.00","26,100.00","25,894.00","201.87K","0.20%"
"09/05/2018","25,973.00","26,000.00","26,026.00","25,841.00","173.92K","-0.05%"
"09/04/2018","25,985.00","26,021.00","26,080.00","25,817.00","180.65K","-0.10%"
"09/03/2018","26,012.00","26,011.00","26,080.00","25,960.00","","0.00%"
"09/02/2018","26,012.00","26,015.00","26,025.00","25,994.00","","0.09%"
"08/31/2018","25,988.00","25,974.00","26,049.00","25,896.00","133.44K","-0.08%"
"08/30/2018","26,010.00","26,155.00","26,168.00","25,946.00","141.40K","-0.52%"
"08/29/2018","26,147.00","26,092.00","26,185.00","26,050.00","104.66K","0.24%"
"08/28/2018","26,085.00","26,079.00","26,156.00","26,044.00","110.16K","0.03%"
"08/27/2018","26,077.00","25,809.00","26,089.00","25,805.00","108.05K","1.10%"
"08/24/2018","25,792.00","25,682.00","25,828.00","25,653.00","111.24K","0.47%"
"08/23/2018","25,671.00","25,731.00","25,767.00","25,607.00","127.11K","-0.18%"
"08/22/2018","25,717.00","25,733.00","25,836.00","25,677.00","120.10K","-0.35%"
"08/21/2018","25,807.00","25,754.00","25,885.00","25,721.00","106.83K","0.19%"
"08/20/2018","25,758.00","25,703.00","25,791.00","25,663.00","102.53K","0.33%"
"08/17/2018","25,674.00","25,578.00","25,731.00","25,506.00","148.78K","0.32%"
"08/16/2018","25,592.00","25,209.00","25,608.00","25,147.00","170.51K","1.61%"
"08/15/2018","25,187.00","25,318.00","25,318.00","24,955.00","222.57K","-0.42%"
"08/14/2018","25,294.00","25,224.00","25,334.00","25,192.00","122.40K","0.31%"
"08/13/2018","25,215.00","25,333.00","25,371.00","25,141.00","166.86K","-0.46%"
"08/10/2018","25,331.00","25,478.00","25,490.00","25,215.00","174.86K","-0.64%"
"08/09/2018","25,493.00","25,505.00","25,603.00","25,459.00","96.58K","-0.17%"
"08/08/2018","25,536.00","25,620.00","25,632.00","25,501.00","97.16K","-0.25%"
"08/07/2018","25,600.00","25,473.00","25,661.00","25,460.00","108.09K","0.52%"
"08/06/2018","25,468.00","25,424.00","25,508.00","25,346.00","96.91K","0.23%"
"08/03/2018","25,410.00","25,327.00","25,437.00","25,260.00","115.24K","0.41%"
"08/02/2018","25,305.00","25,313.00","25,332.00","25,087.00","155.37K","0.06%"
"08/01/2018","25,289.00","25,472.00","25,472.00","25,247.00","142.70K","-0.42%"
"07/31/2018","25,395.00","25,304.00","25,486.00","25,272.00","148.71K","0.44%"
"07/30/2018","25,285.00","25,422.00","25,475.00","25,264.00","152.24K","-0.51%"
"07/27/2018","25,414.00","25,505.00","25,572.00","25,348.00","194.28K","-0.43%"
"07/26/2018","25,525.00","25,437.00","25,568.00","25,392.00","156.25K","0.48%"
"07/25/2018","25,403.00","25,216.00","25,451.00","25,088.00","183.83K","0.75%"
"07/24/2018","25,214.00","25,027.00","25,268.00","25,022.00","183.69K","0.72%"
"07/23/2018","25,033.00","25,088.00","25,088.00","24,952.00","114.42K","0.01%"
"07/20/2018","25,030.00","25,057.00","25,110.00","24,912.00","141.06K","-0.12%"
"07/19/2018","25,059.00","25,164.00","25,209.00","25,034.00","141.01K","-0.41%"
"07/18/2018","25,161.00","25,118.00","25,197.00","25,081.00","108.76K","0.22%"
"07/17/2018","25,106.00","25,056.00","25,141.00","24,971.00","139.25K","0.26%"
"07/16/2018","25,041.00","25,025.00","25,090.00","24,962.00","108.20K","0.15%"
"07/13/2018","25,004.00","24,903.00","25,028.00","24,869.00","140.81K","0.44%"
"07/12/2018","24,894.00","24,710.00","24,927.00","24,680.00","168.03K","0.83%"
"07/11/2018","24,689.00","24,752.00","24,805.00","24,611.00","220.43K","-0.95%"
